,Season,Name,Last Name,Followers(k),Age,City,State,Country,Occupation,Outcome,Elimination_Week,Place,Note,Was_Bachelorette
413,1,Jill,,,31.0,Chicago,Illinois,USA,Retail Manager,Week 1,1,,,0
414,13,Melissa,Rycroft,,25.0,Dallas,Texas,USA,Sales Representative,Winner,8,1.0,,0
415,19,Amanda,Goerlitz,,24.0,Lake in the Hills,Illinois,USA,Ballet Teacher,Week 1,1,24.0,,0
416,20,Maegan,Miller,,30.0,Visalia,California,USA,Cowgirl,Week 1,1,22.0,,0
417,20,Jackie,Dion,,23.0,Newport Beach,California,USA,Gerontologist,Week 2,2,18.0,,0
418,13,Stephanie,Hogan,,34.0,Huntsville,Alabama,USA,Single Mother & Medical Marketing representative,Week 5,5,5.0,,0
419,2,Hayley,,,28.0,Lake Oswego,Oregon,USA,Retail Manager,Week 4,4,,,0
420,5,Francine,Jones,,25.0,Houston,Texas,USA,Retail manager,Week 1,1,,,0
421,5,Jenny,Matthews,,24.0,Canton,Michigan,USA,Retail manager,Week 2,2,,,0
422,10,Nicole,Clary,,26.0,Charleston,South Carolina,USA,Sales Manager,Week 4,4,,,0
