,Season,Name,Last Name,Followers(k),Age,City,State,Country,Occupation,Outcome,Elimination_Week,Place,Note,Was_Bachelorette
179,5,Suzie,Williams,,23.0,Ann Arbor,Michigan,USA,Prosthetic technician,Week 4,4,,,0
180,5,Trish,Schneider,,28.0,Atlanta,Georgia,USA,Model,Week 5,5,,,0
181,5,Mandy,Jeffreys,,26.0,Midland,Texas,USA,Designer for an architect firm,Week 6,6,,,0
182,5,Tara,Huckeby,,23.0,Shawnee,Oklahoma,USA,General contractor,Week 7,7,,,0
183,5,Jessica,Bowlin,,22.0,Huntington Beach,California,USA,Student,Winner,8,,,0
184,9,Andrea,Shirley,,28.0,Cincinnati,Ohio,USA,Hotel concierge,Week 1,1,,,0
185,9,April,Jacobs,,23.0,Chicago,Illinois,USA,Model,Week 1,1,,,0
186,9,Bowe,Newton,,28.0,Columbus,Ohio,USA,Beer chemist,Week 1,1,,,0
187,9,Carissa,Ilburg,,25.0,Cattaraugus,New York,USA,Attorney,Week 1,1,,,0
188,9,Claudia,Gismondi,,22.0,Boca Raton,Florida,USA,Restaurateur,Week 1,1,,,0
189,9,Cosetta,Blanca,,,,,Italy,Dancer,Week 1,1,,,0
190,9,Elyse,Hammer,,27.0,New York,New York,USA,Physician,Week 1,1,,,0
191,9,Heather,Sneed,,34.0,Aliquippa,Pennsylvania,USA,Registered nurse,Week 1,1,,,0
192,9,Jessica,Horner,,25.0,Charlotte,North Carolina,USA,Assistant buyer,Week 1,1,,,0
193,9,Laura,Morgan,,29.0,San Diego,California,USA,Dolphin trainer,Week 1,1,,,0
194,9,Meri,Barr,,27.0,Biloxi,Mississippi,USA,Attorney,Week 1,1,,,0
195,9,Renee,Snell,,30.0,Baltimore,Maryland,USA,Broadcast marketer,Week 1,1,,,0
196,9,Rita,Ghazal,,29.0,Richmond,Virginia,USA,Policy advisor,Week 1,1,,,0
197,9,Rosella,Fratto,,27.0,Chicago,Illinois,USA,Make-up artist,Week 1,1,,,0
198,9,Tara,Durr,,24.0,St. Augustine,Florida,USA,Realtor,Week 1,1,,,0
199,9,Ellen,DeMaio,,30.0,New Haven,Connecticut,USA,Realtor,Week 2,2,,,0
200,9,Kim,Jackson,,27.0,Newport Beach,California,USA,Interior designer,Week 2,2,,,0
201,9,Sarah,Schnare,,30.0,Nelson,British Columbia,Canada,Journalist,Week 2,2,,,0
202,9,Erica,Rose,,23.0,Houston,Texas,USA,Socialite,Week 3,3,,,0
203,9,Gina,Clark,,28.0,Chicago,Illinois,USA,Ultrasound technician,Week 3,3,,,0
204,9,Jami,Matzke,,27.0,Galveston,Texas,USA,Event planner,Week 3,3,,,0
205,9,Desiree,Valentin,,22.0,Salt Lake City,Utah,USA,Realtor,Week 4,4,,,0
206,9,Jeanette,Pawula,,23.0,Bloomingdale,Illinois,USA,Teacher,Week 4,4,,,0
207,9,Agnese,Polliza,,24.0,Venice,,Italy,Student,Week 5,5,,,0
208,1,Jackie,,,22.0,Pittsburgh,Pennsylvania,USA,Bar Manager,Week 1,1,,,0
209,9,Sadie,Murray,,23.0,Carlsbad,California,USA,Publicist,Week 7,7,,,0
210,9,Jennifer,Wilson,,24.0,Pembroke Pines,Florida,USA,Teacher,Winner,8,,,0
211,10,Blakeney,Rowe,,29.0,Birmingham,Alabama,USA,Radio sales,Week 1,1,,,0
212,10,Candice,DeCost,,23.0,Hilton Head Island,South Carolina,USA,Waitress,Week 1,1,,,0
213,10,Catherine,Warren,,23.0,Lake Forest,Illinois,USA,Former Miss Illinois,Week 1,1,,,0
214,10,Danielle,Vallis,,26.0,Bronx,New York,USA,Attorney,Week 1,1,,,0
215,10,Jackie,Topelli,,23.0,Minneapolis,Minnesota,USA,Executive coordinator,Week 1,1,,,0
216,11,Sarah,Newlon,,23.0,O'Fallon,Illinois,USA,Bar manager,Week 3,3,,,0
217,10,Jessica,Devallo,,32.0,New York,New York,USA,Hedge fund analyst,Week 1,1,,,0
218,10,Linda,Malek,,33.0,Cuyahoga Falls,Ohio,USA,Attorney,Week 1,1,,,0
219,10,Lindsay,Smith,,22.0,Lawrence,Kansas,USA,Student,Week 1,1,,,0
220,10,Tiffany,Forester,,27.0,St. Louis Park,Minnesota,USA,Real estate sales/development,Week 1,1,,,0
221,10,Alexis,Young,,26.0,Southlake,Texas,USA,Attorney,Week 2,2,,,0
222,10,Susan,Anderson,,23.0,The Woodlands,Texas,USA,Boutique manager,Week 2,2,,,0
223,13,Emily,Hillis,,23.0,Seattle,Washington,USA,Casino Marketing representative,Week 1,1,16.0,,0
224,10,Amanda,Hackney,,26.0,Dallas,Texas,USA,Financial analyst,Week 3,3,,,0
225,10,Erin,Parker,,24.0,Logansport,Louisiana,USA,Financial analyst,Week 3,3,,,0
226,10,Peyton,Wright,,24.0,La Vergne,Tennessee,USA,Sorority recruiter,Week 3,3,,,0
227,10,Kate,Brockhouse,,24.0,Ravenel,South Carolina,USA,Boutique owner,Week 4,4,,,0
228,16,Lindzi,Cox,,27.0,Newcastle,Washington,USA,Business development manager,Runner-up,10,2.0,,0
229,10,Stephanie,Tipper,,27.0,Folly Beach,South Carolina,USA,Organ donor coordinator,Week 4,4,,,0
230,14,Jessie,Sulidis,,25.0,Oakville,Ontario,Canada,Cosmetic Sales Manager,Week 4,4,6.0,,0
231,10,Tina,Wu,,26.0,Los Angeles,California,USA,Medical student,Week 5,5,,,0
232,10,Amber,Alchalabi,,23.0,Sugar Land,Texas,USA,Teacher,Week 6,6,,,0
233,10,Danielle,Imwalle,,25.0,Bethel,Connecticut,USA,Graphic Designer,Week 7,7,,,0
234,10,Bevin,Powers,,28.0,Palo Alto,California,USA,Assistant,Week 8,8,,,0
235,10,Tessa,Horst,,26.0,San Francisco,California,USA,Social Worker,Winner,9,,,0
236,11,Jessica,Kiss,,27.0,Lady Lake,Florida,USA,News anchor,Week 1,1,,,0
237,11,Juli,Gilliam,,24.0,Chicago,Illinois,USA,Law student,Week 1,1,,,0
238,11,Kim,Orville,,31.0,Woodbridge,Connecticut,USA,Realtor,Week 1,1,,,0
239,11,Lori,Langley,,33.0,Annapolis,Maryland,USA,Timothy's Biology teacher,Week 1,1,,,0
240,11,Melissa,Buschel,,28.0,Westchester,New York,USA,Event planner,Week 1,1,,,0
241,11,Morgan,Becker,,24.0,Tempe,Arizona,USA,Graduate student,Week 1,1,,,0
242,11,Natalie,Velasco,,25.0,Duncanville,Texas,USA,Law student,Week 1,1,,,0
243,12,Carri,Perrier,,25.0,Oklahoma City,Oklahoma,USA,Church marketing representative,Week 2,2,13.0,,0
244,11,Susan,Stein,,35.0,St. Charles,Illinois,USA,Project analyst,Week 1,1,,,0
245,11,Tauni,Nessler,,31.0,St. Louis Park,Minnesota,USA,Emergency room nurse,Week 1,1,,,0
246,11,Erin,Gardner,,25.0,Tampa,Florida,USA,Publishing sales executive,Week 2,2,,,0
247,11,Mallory,Simons,,24.0,Honolulu,Hawaii,USA,Nanny,Week 2,2,,,0
248,11,Michele,Leavy,,30.0,South Brunswick,New Jersey,USA,Realtor,Week 2,2,,,0
249,11,Lindsey,Hawkins,,25.0,Livonia,Michigan,USA,Model,Week 3,3,,,0
250,11,Solisa,Shoop,,25.0,Georgetown,Texas,USA,Esthetician,Week 3,3,,,0
251,11,Jade,Beazley,,24.0,Nashville,Tennessee,USA,Boutique sales worker,Week 4,4,,,0
252,5,Rachel,Clementi,,26.0,Buffalo,New York,USA,Fashion public relations manager,Week 1,1,,,0
253,11,Stephy,Kootz,,26.0,Atlanta,Georgia,USA,Executive assistant,Week 4,4,,,0
254,11,Hillary,Reisinger,,27.0,Philadelphia,Pennsylvania,USA,Registered nurse,Week 5,5,,,0
255,11,Kristy,Katzmann,,29.0,Gurnee,Illinois,USA,Acupuncturist,Week 5,5,,,0
256,11,Sheena,Stewart,,23.0,Walnut Creek,California,USA,Internet marketing executive,Week 6,6,,,0
257,11,Bettina,Bell,,27.0,Washington,D.C.,USA,Realtor,Week 7,7,,,0
258,11,Deanna,Pappas,,25.0,Newnan,Georgia,USA,Realtor,Week 8,8,,,1
259,11,Jenni,Croft,,27.0,Wichita,Kansas,USA,Phoenix Suns Cheerleader,Week 8,8,,,0
260,14,Lex,McAllister,,25.0,Galloway,Ohio,USA,Entrepreneur,Week 1,1,16.0,,0
261,12,Alyssa,Gill,,24.0,Boise,Idaho,USA,Biology student,Week 1,1,16.0,,0
262,12,Amanda,Petterman,,26.0,LaFollette,Tennessee,USA,Law student,Week 1,1,16.0,,0
263,12,Denise,Hawthorne,,30.0,Washington,D.C,USA,Attorney and former White House aide,Week 1,1,16.0,,0
264,12,Devon,Antin,,24.0,Austin,Texas,USA,Makeup artist,Week 1,1,16.0,,0
265,12,Lesley,Geyer,,23.0,Tampa,Florida,USA,Youth minister,Week 1,1,16.0,,0
266,12,Michele,Romero,,33.0,Laguna Niguel,California,USA,Interior designer,Week 1,1,16.0,,0
267,12,Rebecca,LeBlanc,,30.0,Alamo,California,USA,Attorney,Week 1,1,16.0,,0
268,12,Stacey,Elza,,26.0,Chicago,Illinois,USA,Graduate student,Week 1,1,16.0,,0
269,12,Tamara,Sketz,,23.0,Beverly Hills,California,USA,Cocktail waitress,Week 1,1,16.0,,0
270,17,Keriann,Miranda,,29.0,Agoura Hills,California,USA,Entrepreneur,Week 1,1,20.0,,0
271,16,Rachel,Truehart,,27.0,Southampton,Massachusetts,USA,Fashion sales representative,Week 7,7,5.0,,0
272,12,Erin,Harper,,25.0,Seattle,Washington,USA,Event planner,Week 2,2,13.0,,0
273,12,Michelle,Powell,,28.0,Syracuse,New York,USA,Administrative assistant,Week 2,2,13.0,,0
274,12,Amy,Rowe,,22.0,Stockton,California,USA,Nanny,Week 3,3,10.0,,0
275,12,Erin,Storm,,33.0,Venice,California,USA,Hot-dog vendor,Week 3,3,10.0,,0
276,12,Kristine,Heffelfinger,,33.0,Dillsburg,Pennsylvania,USA,Personal trainer,Week 3,3,10.0,,0
277,12,Ashlee,Williss,,22.0,Jacksonville Beach,Florida,USA,Singer-songwriter,Week 4,4,7.0,,0
278,1,Paula,,,24.0,Swansea,Massachusetts,USA,Insurance Representative,Week 1,1,,,0
279,12,Holly,Durst,,24.0,Suffield,Ohio,USA,Children's book author,Week 4,4,9.0,,0
280,12,Marshana,Ritchie,,27.0,Brooklyn,New York,USA,Fashion designer,Week 5,5,5.0,,0
281,12,Robin,Canfield,,22.0,Holland,Michigan,USA,Advertising coordinator,Week 5,5,5.0,,0
282,12,Noelle,Drake,,26.0,Loveland,Colorado,USA,Photographer,Week 6,6,4.0,,0
283,12,Amanda,Rantuccio,,27.0,Niceville,Florida,USA,Account Executive,Week 7,7,3.0,,0
284,12,Shayne,Lamas,,22.0,Malibu,California,USA,Actress,Winner,8,1.0,,0
285,13,Molly,Malaney,,24.0,Brookfield,Wisconsin,USA,Department Store Buyer,Runner-up,8,2.0,,0
286,13,Ann,Lueders,,24.0,Phoenix,Arizona,USA,Flight Attendant,Week 1,1,16.0,,0
287,16,Lyndsie,James,,29.0,London,,England,Internet entrepreneur,Week 1,1,19.0,,0
288,13,Jackie,Hickey,,26.0,Springfield,Massachusetts,USA,Wedding Coordinator,Week 1,1,16.0,,0
289,13,Julie,Dermotta,,26.0,Columbus,Ohio,USA,Teacher,Week 1,1,16.0,,0
290,13,Nicole,Mah,,25.0,Calgary,Alberta,Canada,Menswear Buyer,Week 1,1,16.0,,0
291,13,Renee,Simlak,,36.0,Southfield,Michigan,USA,Jewelry Designer,Week 1,1,16.0,,0
292,13,Shelby,Gillespie,,23.0,Stockton,California,USA,Account Executive,Week 1,1,16.0,,0
293,13,Stacia,Mann,,24.0,Orem,Utah,USA,Single Mother & Charity Accountant,Week 1,1,16.0,,0
294,13,Treasure,Morgan,,28.0,Salt Lake City,Utah,USA,Single Mother and Nurse Practitioner,Week 1,1,16.0,,0
295,13,Raquel,Medeiros,,27.0,Recife,Pernambuco,Brazil,Medical Student,Week 2,2,13.0,,0
296,13,Sharon,Staebell,,32.0,Batavia,New York,USA,Teacher,Week 2,2,13.0,,0
297,13,Lisa,Gonzalez,,28.0,Boise,Idaho,USA,Public Relations Associate,Week 2,2,15.0,quit,0
298,13,Erica,DeSimone,,25.0,Monroe,Connecticut,USA,Account Executive,Week 3,3,10.0,,0
299,13,Kari,Fajen,,27.0,Lee's Summit,Missouri,USA,Account Executive,Week 3,3,10.0,,0
300,13,Natalie,Getz,,27.0,Morton,Illinois,USA,Human Resources Recruiter,Week 3,3,12.0,,0
301,13,Lauren,Wanger,,27.0,Marlboro,New Jersey,USA,Teacher,Week 4,4,6.0,,0
302,13,Megan,Parris,,25.0,Sewickley,Pennsylvania,USA,Single Mother and Lacrosse Coach,Week 4,4,6.0,,0
303,13,Shannon,Bair,,29.0,Marshall,Missouri,USA,Dental Hygienist,Week 4,4,6.0,,0
304,13,Nikki,Kaapke,,29.0,Blue Island,Illinois,USA,Administrative Assistant,Week 4,4,9.0,,0
305,14,Vienna,Girardi,,23.0,Geneva,Florida,USA,Marketing Representative,Winner,8,1.0,,0
306,13,Naomi,Crespo,,24.0,Carlsbad,California,USA,Flight Attendant,Week 6,6,4.0,,0
307,13,Jillian,Harris,,29.0,Peace River,Alberta,Canada,Interior Designer,Week 7,7,3.0,,1
308,10,Tiffany,Warren,,28.0,Boston,Massachusetts,USA,Medical equipment sales rep,Week 2,2,,,0
309,14,Tenley,Molzahn,,25.0,Newberg,Oregon,USA,College Admissions,Runner-up,8,2.0,,0
310,14,Caitlyn,McCabe,,24.0,Winfield,Illinois,USA,Spokesmodel,Week 1,1,16.0,,0
311,14,Channy,Choch,,29.0,Santa Rosa,California,USA,Mortgage Loan Officer,Week 1,1,16.0,,0
312,14,Elizabeth,Kreft,,29.0,Union,Kentucky,USA,"Captain, Air National Guard",Week 1,1,16.0,,0
313,14,Emily,Harkins,,23.0,West Chester,Ohio,USA,Fitness Model,Week 1,1,16.0,,0
314,14,Kimberly,Sullivan,,24.0,Norman,Oklahoma,USA,NBA Dancer,Week 1,1,16.0,,0
315,14,Kirsten,Pittman,,25.0,Aurora,Colorado,USA,Waitress,Week 1,1,16.0,,0
316,12,Kelly,Duncan,,25.0,Hollywood,California,USA,Medical sales representative,Week 4,4,7.0,,0
317,14,Sheila,Lidner,,25.0,Scottsdale,Arizona,USA,Commercial Pilot,Week 1,1,16.0,,0
318,14,Stephanie,Mueller,,24.0,Morris,Illinois,USA,Dance Teacher,Week 1,1,16.0,,0
319,14,Tiana,Kruzel,,31.0,Calgary,Alberta,Canada,Medical Technician,Week 1,1,16.0,,0
320,14,Ashley,Elmore,,29.0,Pittsburgh,Pennsylvania,USA,Teacher,Week 2,2,13.0,,0
321,10,Jeanette,Alvarez,,27.0,Tampa,Florida,USA,Health care manager,Week 1,1,,,0
322,14,Rozlyn,Papa,,28.0,Richmond,Virginia,USA,Model/Make-Up Artist,Week 2,2,15.0,DQ,0
323,14,Elizabeth,Kitt,,29.0,Imperial,Nebraska,USA,Nanny,Week 3,3,10.0,,0
324,14,Valishia,Savage,,32.0,San Bernardino,California,USA,Homemaker,Week 3,3,10.0,,0
325,17,Taryn,Daniels,,30.0,Troutdale,Oregon,USA,Health Club Manager,Week 3,3,14.0,,0
326,5,Katie,Gehart,,22.0,Scottsdale,Arizona,USA,LASIK Eye and Skin Center manager,Week 3,3,,,0
327,9,Lisa,Blank,,25.0,Portland,Oregon,USA,Marketing manager,Week 6,6,,,0
328,14,Kathryn,Sherlock,,25.0,Lexington,Kentucky,USA,Corporate Flight Attendant,Week 4,4,8.0,,0
329,14,Ella,Nolan,,30.0,La Follette,Tennessee,USA,Hair Stylist,Week 4,4,9.0,,0
330,14,Corrie,Adamson,,23.0,Kissimmee,Florida,USA,Wardrobe Consultant,Week 5,5,5.0,,0
331,14,Gia,Allemand,,26.0,New York,New York,USA,Swimsuit Model,Week 7,7,3.0,,0
332,13,Dominique,Carta,,26.0,Mt. Carmel,Pennsylvania,USA,Medical Sales representative,Week 1,1,16.0,,0
333,15,Chantal,O'Brien,,28.0,Mercer Island,Washington,USA,Executive Assistant,Runner-up,10,2.0,,0
334,15,Britnee,,,25.0,Holland,Pennsylvania,USA,Paralegal,Week 1,1,21.0,,0
335,15,Cristy,Caserta,,30.0,Davie,Florida,USA,Attorney,Week 1,1,21.0,,0
336,15,Jill,Ruskowski,,28.0,Frisco,Texas,USA,Sales director,Week 1,1,21.0,,0
337,15,Lacey,Garbelman,,27.0,Tampa,Florida,USA,Insurance agent,Week 1,1,21.0,,0
338,15,Lauren,Moore,,26.0,Culpeper,Virginia,USA,High School Teacher,Week 1,1,21.0,,0
339,15,Lisa,Pastrich,,27.0,Dix Hills,New York,USA,Sales Consultant,Week 1,1,21.0,,0
340,15,Rebecca,,,30.0,Mission Viejo,California,USA,Esthetician,Week 1,1,21.0,,0
341,15,Renee,Halpin,,28.0,Palos Hills,Illinois,USA,Nanny,Week 1,1,21.0,,0
342,15,Sarah,Ledtke,,25.0,Saginaw,Michigan,USA,Musical Theatre Performer,Week 1,1,21.0,,0
343,15,Keltie,Colleen,,28.0,Sherwood Park,Alberta,Canada,Radio City Rockette,Week 2,2,18.0,,0
344,15,Melissa,Schreiber,,32.0,Westport,Connecticut,USA,Waitress,Week 2,2,18.0,,0
345,15,Raichel,Goodyear,,29.0,Fullerton,California,USA,Manscaper,Week 2,2,18.0,,0
346,15,Kimberly,Coon,,27.0,Orlando,Florida,USA,Marketing Coordinator,Week 3,3,15.0,,0
347,15,Sarah,Powell,,27.0,Denver,Colorado,USA,Real Estate Broker,Week 3,3,15.0,,0
348,15,Madison,Garton,,25.0,Vail,Colorado,USA,Model,Week 3,3,17.0,quit,0
349,15,Lindsay,Hill,,25.0,Plano,Texas,USA,First grade teacher,Week 4,4,12.0,,0
350,15,Meghan,Merritt,,30.0,Princeton,New Jersey,USA,Fashion Marketer,Week 4,4,12.0,,0
351,15,Stacey,Quirpel,,26.0,Quincy,Massachusetts,USA,Bartender,Week 4,4,12.0,,0
352,15,Lisa,Morrisey,,24.0,Ottawa,Kansas,USA,Marketing Coordinator,Week 5,5,9.0,,0
353,15,Marissa,May,,26.0,Mesa,Arizona,USA,Sports Publicist,Week 5,5,9.0,,0
354,15,Ashley,Spivey,,26.0,Ellerbe,North Carolina,USA,Nanny,Week 5,5,11.0,,0
355,15,Jackie,Gordon,,26.0,Newport,Rhode Island,USA,Artist,Week 6,6,7.0,,0
